3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
36147000,31091000,33097000,30496000,30786000,30955000
35265000,30628000,19362000,36645000,42865000,33807000
0,0,0,0,0,810550
220310000,199470000,175260000,624180000,736490000,696950000
116540000,117220000,124940000,140410000,131350000,144210000
4183600,3748300,4404900,3929600,0,0
12114000,5100800,7461400,7721700,7527800,6000400
4277300,3472100,3510400,4865800,6056000,4986600
5266900,7746500,6381100,5158700,4727800,5682200
9870500,6677500,10387000,7582700,7682800,9425900
0,0,0,1839200,0,0
0,0,0,3546800,0,2977800
23995000,24507000,26250000,27392000,29997000,34675000
11520000,11262000,16283000,10106000,10330000,9780400
35294000,26924000,53522000,31592000,27066000,33142000
36096000,42887000,38534000,24818000,20914000,25078000
147110000,147040000,132010000,155580000,124150000,116210000
95440000,101040000,102800000,138990000,136590000,154600000
2087300000,2294200000,2057100000,922420000,961640000,855920000
25823000,29045000,18613000,27765000,29621000,18506000
0,0,0,0,0,2556000
0,0,0,3882500,0,0
2028900,0,2422400,0,0,0
22497000,20469000,18054000,25949000,32420000,31988000
0,0,0,0,559660,0
63712000,57355000,48244000,42186000,48448000,47714000
0,2469600,0,2630200,3142200,2455100
154890000,143330000,140370000,201850000,222440000,228070000
6527300,6925700,9595900,8467600,9595600,10166000
22446000,18864000,29365000,18972000,13145000,15795000
431540000,408050000,369660000,388560000,405100000,390460000
37029000,34396000,33168000,180620000,190730000,177160000
0,0,0,0,0,3105100
113170000,141620000,142170000,234460000,205020000,191300000
38835000,24938000,38883000,29913000,25672000,30773000
30200000,32181000,29503000,30781000,28439000,27460000
2920800,0,4047300,4702700,5354000,5284900
5346200,6400800,8541600,9142900,8024000,7828800
4289300,4756000,4475700,4046600,5684900,5394500
62761000,59590000,74619000,45303000,43937000,42587000
41209000,40970000,34030000,39803000,42373000,34687000
1613100000,1623100000,1396800000,780540000,982080000,881820000
19334000,24910000,17640000,11693000,13467000,10249000
164930000,124990000,119250000,78902000,82513000,84199000
2851400,3485500,2284500,0,2552400,2024800
1194500,1071600,0,913380,0,4147900
0,0,1956400,5782200,4255900,5452400
22627000,26521000,26352000,15700000,11398000,15106000
0,0,0,0,0,4147200
4829000,3905900,3579100,8353600,7019500,4917600
20544000,29599000,23558000,40718000,44596000,43337000
9021400,10442000,7169200,0,0,0
10574000,0,9117300,9031600,7713400,0
4192800,4741400,2761600,6640000,7865300,6243500
4006300,2939500,3734500,5970600,6673400,5812700
12101000,11478000,7680900,14304000,19723000,10801000
2199600,0,2531900,0,0,0
0,0,11068000,0,0,0
3081600,0,0,10098000,8673500,5467200
0,0,1317000,0,0,0
57476000,55518000,49671000,141860000,130350000,105200000
7946700,0,8637600,0,0,0
119900000,129810000,132720000,262470000,243170000,286810000
3851500,3368100,2873700,3472100,3962700,3712200
61655000,51283000,59562000,40115000,47751000,44347000
515120000,475710000,433300000,620390000,720560000,620320000
2256500,2437300,2932400,5235900,6179900,5088600
2401200,0,0,0,0,0
0,0,0,0,929830,1811800
3861000,3367500,4775700,11074000,11784000,10995000
209880000,225920000,214290000,267850000,296120000,256830000
0,5436900,4786900,10267000,8569800,9031500
2541900,3022100,0,5631300,5498600,5306000
0,0,0,0,0,2933200
3081600,4816900,2495800,2753300,4145700,4453900
0,0,0,0,1847000,0
30313000,31851000,38304000,78960000,74758000,91025000
0,0,0,1448700,1363500,0
16904000,16886000,17193000,25867000,23295000,23205000
42496000,34451000,35885000,22312000,28739000,22899000
1562500,0,1155800,0,0,0
0,0,0,4299900,0,0
2948600,3852700,2594500,0,0,0
0,0,0,0,0,1234800
14962000,15990000,18937000,24684000,29110000,27152000
66571000,69218000,66423000,41689000,33566000,40869000
0,2064300,0,0,0,0
229820000,228660000,208730000,285550000,287800000,257230000
729580,0,1015400,0,0,0
608290000,738510000,548750000,563390000,851430000,680610000
0,3063800,2702000,0,0,2634300
16703000,15116000,13920000,24024000,27291000,29501000
4879000,0,0,0,0,0
18468000,18668000,20299000,16055000,14859000,13086000
9657400,9711600,10547000,9294000,8206400,8472200
11150000,7808400,9115500,9858200,7892400,7344000
3913500,4485500,4677700,5344300,6055600,4872200
0,0,0,0,0,0
16211000,18843000,21178000,16212000,18043000,16080000
6878000,4625000,4247400,8753700,10715000,5026700
19711000,20865000,19445000,25760000,29260000,22292000
38917000,35448000,50051000,38576000,25842000,34128000
17801000,12276000,11895000,5228200,2956800,3071800
36958000,37600000,34699000,34048000,43839000,33476000
210240000,205820000,202490000,114310000,127330000,110750000
4818700,0,0,0,0,0
14049000,12786000,12256000,23177000,18740000,21896000
168660000,180410000,155590000,198840000,180550000,216040000
0,3590000,2268200,0,0,0
126020000,136570000,117240000,260500000,282140000,264820000
2497500,0,2365200,2521000,0,0
218230000,170280000,231050000,159120000,141550000,149130000
0,0,0,0,0,17277000
135340000,137550000,138750000,163310000,155370000,141160000
37979000,38687000,45854000,55534000,40680000,46074000
214880000,221240000,220980000,95127000,103200000,138670000
0,0,0,0,4866200,0
17025000,14005000,0,0,0,0
7757500000,13717000000,8681200000,24746000000,25413000000,33831000000
8195400,18037000,9493400,12737000,11811000,11559000
16709000,17193000,15704000,14091000,14411000,12377000
7031600,5264800,8657000,4334700,5513300,6046000
0,0,4900200,7626500,10940000,6395800
98882000,106620000,125690000,78207000,65060000,49413000
41870000,39533000,56729000,96004000,91671000,94719000
127710000,112730000,103290000,148530000,151990000,146280000
0,0,10266000,12122000,12227000,0
7511900,8792500,8045300,0,0,0
50957000,55583000,37310000,43921000,50628000,35594000
0,0,0,4382500,5022700,0
2975000,2362000,2517500,0,0,0
199550000,183420000,191790000,201650000,202900000,223040000
12815000,12757000,12594000,27949000,20480000,20396000
125820000,152000000,125850000,112660000,105740000,86017000
3584200,0,0,0,0,0
0,0,1944000,1426500,1481300,2035000
60391000,40820000,48002000,48264000,46096000,49250000
0,1769400,0,0,0,0
0,1562500,2783100,0,2697100,3075500
6729400,6047100,5537400,0,0,0
0,0,4506500,9584200,9759500,10481000
11850000,7586100,7250600,11804000,9396100,9373800
3270100,5013800,4197000,10018000,14952000,14183000
7217600,9834500,7322100,13889000,17709000,12901000
2218000,2279800,1975300,4748200,3515900,5403400
11466000,9939800,15478000,0,0,0
3478100,0,0,11843000,8309800,5238100
0,0,0,0,0,1870600
0,3278200,0,4114000,3670000,3258300
0,0,0,0,1411600,0
0,0,0,0,0,630440
686640000,709930000,553710000,414770000,486490000,391890000
158050000,164360000,133550000,84806000,73095000,80795000
10749000,13640000,10845000,9827800,12601000,8615800
47286000,40237000,43052000,36989000,41835000,41260000
58403000,60208000,52651000,57183000,59400000,50095000
1968300,1714600,2119200,3196900,3612000,3146600
149550000,162360000,135020000,136600000,149500000,158450000
2962100,3064500,2534400,2218100,0,2258900
0,0,0,2104100,1766200,1462600
2679600,2990500,2668500,5381600,5229900,5005200
3272800,4035100,3531300,0,0,0
15733000,20072000,19745000,31344000,35187000,30456000
3858700,3325300,2861100,2377200,3429500,0
12656000,15012000,11792000,34724000,28618000,30844000
17574000,15745000,15233000,20557000,24903000,27052000
12730000,11348000,11128000,11059000,11061000,10037000
0,0,0,1382900,0,1468600
55540000,61141000,54724000,53221000,51263000,43585000
11056000,9711300,7694200,5795200,5993800,4605900
13734000,10736000,14898000,12507000,12613000,10730000
32234000,26626000,26516000,29727000,31794000,28738000
4206400,4466900,0,8020600,9034100,6787700
39593000,48179000,38871000,42554000,46107000,40971000
6712400,6550200,7139000,4978300,5363700,5665200
48581000,40678000,36135000,40870000,38663000,35615000
21623000,25532000,18428000,28212000,35323000,23268000
39879000,44377000,44998000,45251000,51465000,45012000
23024000,19347000,19154000,27537000,29112000,29193000
58417000,56755000,80283000,34294000,33486000,36324000
0,0,4028000,0,3751900,0
0,0,0,0,3064700,0
83818000,88991000,77015000,82158000,84038000,60311000
62859000,48337000,64806000,54880000,48140000,61040000
134480000,137240000,128380000,56523000,81227000,67779000
9509600,9158000,8612600,20394000,23585000,16650000
9517800,8534400,8154500,10246000,12096000,8382400
3368300,4108700,3747700,0,0,0
0,0,0,3864500,4312500,2560600
1025500000,1257100000,1311500000,1584000000,1440500000,1638200000
85000000,53481000,60229000,31234000,29802000,32181000
979890000,1344700000,1114400000,472320000,559340000,462220000
7569600,3915800,10721000,3455300,3187200,3835300
37743000,47192000,46932000,37672000,37345000,40328000
8029000,5968200,8519600,4843700,5129300,5729600
638830000,666170000,750500000,567000000,543640000,577460000
6132800,8767300,6060500,9955800,14153000,12140000
10129000,17527000,15334000,17894000,15178000,17222000
157720000,173300000,124270000,162840000,158960000,136340000
67229000,65438000,79947000,98881000,109410000,113450000
11369000,11641000,10165000,3006900,2955600,2297700
4530600,5987900,3882400,7274400,8578400,5711900
57580000,76975000,87897000,102570000,86797000,91176000
75106000,69364000,64411000,54749000,61613000,63223000
5008200,6784200,0,5502400,5419200,6279600
86694000,102340000,121920000,93960000,112350000,109000000
0,0,0,0,3696600,0
0,0,0,0,150920,0
9946800,7276700,7787600,0,0,4355200
221750000,222700000,271370000,384250000,375430000,461350000
36103000,41474000,44965000,66925000,53536000,41900000
11954000,15001000,12478000,26543000,32958000,26517000
64773000,89218000,76519000,78271000,77113000,80195000
23994000,17868000,17216000,26923000,23417000,36445000
40135000,47211000,54766000,15691000,15111000,15697000
27200000,27785000,18936000,13333000,17894000,12764000
129480000,127870000,124080000,129920000,137890000,112620000
5955900,7941500,5660600,5568800,3764500,3431100
0,2600600,0,1986100,2038200,1751400
1640200,1750600,0,4175300,3651800,3473600
0,3760700,3296300,7739100,11412000,7994400
682400000,859590000,549960000,791430000,834950000,696970000
163010000,158130000,179700000,232410000,211050000,234190000
222780000,192050000,181910000,211600000,229780000,216460000
2186400,0,2214900,3063800,3896300,2561100
50583000,39183000,54645000,35656000,34274000,38860000
0,0,0,0,7450500,6226400
11272000,13250000,7792900,12795000,16144000,13575000
4200500,4126300,5130200,5864000,6254900,11314000
0,0,0,0,0,79830000
26616000,29196000,22477000,86571000,89702000,70446000
0,0,0,0,659790,0
0,0,0,7982600,6998400,6809500
382500000,372290000,399920000,546480000,539120000,566240000
0,0,0,0,0,591080
81594000,69727000,65924000,65684000,64396000,55198000
4704000,5187200,4402400,3136000,5039800,3143500
0,2486500,0,2278800,3732400,3763900
12302000,11633000,5669000,15868000,9858100,11365000
5704500,6080200,5406100,14604000,12312000,14269000
53103000,60445000,58934000,109160000,101260000,94008000
27259000,21111000,33287000,32748000,28731000,26047000
696600,0,815630,85374000,105980000,36730000
26378000,27331000,26196000,31019000,31936000,30522000
33635000,29939000,48372000,28008000,26801000,25368000
108880000,107300000,100770000,32675000,44928000,46367000
11767000,10178000,12835000,13043000,9803200,10650000
0,1841700,2869900,0,5736700,3056200
12677000,10766000,8149600,24783000,26345000,23109000
0,0,0,0,0,8067000
4157800,4062900,4234900,9180200,7354200,5626300
97854000,82370000,80703000,102960000,114830000,85341000
71260000,75532000,74583000,54488000,86192000,68016000
21127000,22801000,17797000,0,0,0
95859000,94897000,76838000,50166000,76937000,73865000
47566000,61606000,46283000,50437000,68451000,46479000
2515600,2232300,2434600,3948700,2295600,3028400
1765800,0,0,1847800,3408600,2854800
2289600000,2024600000,1946200000,2411100000,2561200000,2247900000
10168000,0,12090000,7901000,6061400,0
4341400,4594300,4962300,3105800,2954300,3120900
16365000,16095000,16535000,11532000,13686000,12727000
51244000,52456000,38310000,25276000,28354000,22155000
4163700,3716600,4325700,3253600,3674100,3286300
0,0,0,0,0,872310
0,2050600,0,2584200,0,0
15833000,15185000,14122000,15197000,14377000,11216000
28025000,20730000,31236000,13804000,10172000,0
0,0,0,3241200,2890700,0
15149000,16851000,27091000,23342000,25348000,27508000
74114000,66339000,86258000,67059000,67903000,62316000
14959000,11789000,15644000,23921000,23701000,23861000
11115000,13266000,7594600,23971000,31542000,22100000
635050000,678660000,718190000,715000000,738050000,740200000
19837000,19411000,15911000,29161000,29126000,38078000
239410000,238740000,291360000,102860000,120900000,115200000
10262000,11750000,9166900,17645000,21647000,18074000
192260000,277400000,241160000,368410000,313190000,288520000
27483000,30001000,28361000,18271000,18564000,15895000
0,0,0,0,957720,0
34170000,39452000,39566000,43065000,41773000,41428000
199210000,202340000,178960000,389510000,388940000,397480000
110890000,124860000,156090000,360450000,294000000,416580000
