Gene_names	logFC	adj.P.Val	Regulation
NLRP7	4.169182703526283	0.0007849083602492626	Up
BAZ2A	2.974494406249648	0.0007849083602492626	Up
IQGAP1	-1.8343732748700754	0.0007849083602492626	Down
NOL7	3.124729879296403	0.0007849083602492626	Up
COX6B1	-2.199494773979952	0.0007849083602492626	Down
GNG11	-6.021814062888129	0.0007849083602492626	Down
RCC2	1.7035813722898505	0.0007849083602492626	Up
PLIN2	3.4632489702523124	0.0007849083602492626	Up
PDLIM3	-3.6947337057298513	0.0007849083602492626	Down
CTSD	-1.8361897432550025	0.0008054456985259442	Down
ITGAV	-2.4027114415667796	0.0008054456985259442	Down
HBB	1.8429801380644997	0.0008054456985259442	Up
CDH6	-2.704181813664042	0.0008054456985259442	Down
ZMYND8	1.420693591717162	0.0008054456985259442	Up
S100B	-7.588901100454199	0.0008054456985259442	Down
SPON1	-6.38629173463945	0.0008054456985259442	Down
ASPSCR1	1.828772140320594	0.0008054456985259442	Up
WDR70	1.5423569367161596	0.0008054456985259442	Up
GPRC5C	-1.8007088620876983	0.000820506448513333	Down
PCK1	-2.222798745488801	0.000820506448513333	Down
ENO3	2.91941256695942	0.000850538810995207	Up
CC2D1A	-1.6462139589874585	0.000862829704756447	Down
ATAD3B	4.189799945339936	0.000862829704756447	Up
B4GAT1	-2.81285751474707	0.000862829704756447	Down
CAPN5	-1.7284979605927357	0.0008673492963315007	Down
MAP2K6	1.6678527291657184	0.0008675007824458462	Up
NUCB2	-1.4737137858712164	0.0008675007824458462	Down
LGALS1	-1.7408276017368638	0.0008675007824458462	Down
IGF2BP3	1.9864808282963327	0.0008844195707453469	Up
NASP	1.974707840762846	0.0008844195707453469	Up
GLDC	1.6409533496592026	0.0008844195707453469	Up
TMOD1	-4.6248267712847415	0.0008947922600160962	Down
SFRP1	3.5804473576062428	0.0009230259561550602	Up
MCM7	2.228909143514256	0.0009230259561550602	Up
KIF2C	4.388751531189426	0.0009230259561550602	Up
RPRD1A	1.5236338980644615	0.0009323053989401018	Up
EPDR1	-2.1436057038764034	0.0009323053989401018	Down
MBNL1	-3.07183178796938	0.0009455190231265399	Down
PTPRZ1	-1.742104449613882	0.0009907692089217565	Down
ACP2	-1.8270937520226633	0.0009907692089217565	Down
LDHA	2.3176467048271405	0.0009907692089217565	Up
B2M	-2.089523490096718	0.0009907692089217565	Down
CNPY4	-1.8333425662483822	0.0009907692089217565	Down
GLB1	-1.5724169318464596	0.0009907692089217565	Down
WDHD1	6.562201898046605	0.0009907692089217565	Up
DDX21	1.8179619640755957	0.0009907692089217565	Up
HEATR5A	-1.3819601559875814	0.0009907692089217565	Down
TRIM25	-1.867540741262007	0.0010293199670534756	Down
BHMT	2.4303183225394194	0.0010541467288489592	Up
CTSA	-2.527786842237025	0.0010541467288489592	Down
SQRDL	-5.0889858905248575	0.0010541467288489592	Down
PAG1	-3.1233326131003656	0.0010541467288489592	Down
GDNF	3.5944193120891157	0.0010541467288489592	Up
TACC1	-2.064338348900228	0.0010541467288489592	Down
TAF9B	1.8413191333083434	0.0010637117018907742	Up
SPOCK1	2.3215509030108685	0.0010637117018907742	Up
CTSH	-4.809211305357727	0.0010661147385998895	Down
ANP32E	1.4205829741953409	0.0010661147385998895	Up
ACTN4	-1.2829494810282718	0.0010967880901458795	Down
SALL2	1.9096566562275044	0.001107057957085331	Up
POLD1	2.3584541046977243	0.0011085747177936988	Up
SPCS3	-3.3880639838968043	0.001148567555730023	Down
NRCAM	-1.3299362410821185	0.0011578955065286672	Down
MSH2	1.613840531059521	0.0011838462123213126	Up
SUGCT	2.248450081640427	0.0012015660313267641	Up
ADD3	-1.656068328499547	0.0012015660313267641	Down
CD99	-1.6918959980500208	0.0012015660313267641	Down
IFI16	1.606292614913599	0.0012091505865765753	Up
PTK7	-1.1972189036863814	0.0012091505865765753	Down
SLC2A1	6.1215194241333535	0.0012261428228031103	Up
CA2	-1.926523974566646	0.0012345366267154092	Down
VRK1	3.114953846398298	0.0012986648518185555	Up
PDCD11	1.5980794962848095	0.0012986648518185555	Up
ARMC6	1.566200494124962	0.0012986648518185555	Up
CRYBB1	4.686708457267625	0.0012986648518185555	Up
MAK16	1.2440326850826555	0.0012986648518185555	Up
GPC2	1.9795192254935117	0.0012986648518185555	Up
ALCAM	-6.186010518232085	0.0012986648518185555	Down
GTPBP4	1.3251507601100023	0.0013079329854805977	Up
CEBPZ	2.040188943170913	0.0013206608637010102	Up
REEP5	-1.3148572763917012	0.0013440101926384088	Down
ZNF185	-1.5676102370137457	0.0013440101926384088	Down
PIPOX	-3.222770703537196	0.0013440101926384088	Down
EPHX1	-2.2437173757994437	0.0013647550869544842	Down
DCX	1.7424199745515323	0.0013647550869544842	Up
PGM2	-1.161061274865833	0.001375580075018375	Down
PBK	3.5276358877492866	0.001375580075018375	Up
PRSS56	-4.7624531447983856	0.001375580075018375	Down
FEN1	1.3642202255940508	0.001375580075018375	Up
TRIM24	1.3953292178486998	0.001375580075018375	Up
PXDN	2.040961221177627	0.0013869035539364472	Up
LRRC4B	-1.872936626132983	0.0013869035539364472	Down
NUF2	2.860002262060619	0.0013939866448289427	Up
IMPACT	6.307126010682313	0.0013939866448289427	Up
TMEM263	-1.544117860060555	0.0014061321596217503	Down
NOVA1	-1.4129922356901794	0.0014114708461199959	Down
ALDH1B1	1.514536776082736	0.0014322877777803238	Up
PIR	-1.5406269582466492	0.0014322877777803238	Down
NAMPT	-1.7504504921784467	0.0014399516207645251	Down
EPHA3	1.315242832071288	0.0014818009239582308	Up
EPHA2	2.027576291731748	0.0014818009239582308	Up
NDRG2	-3.1947605426435532	0.0014818009239582308	Down
PBXIP1	-3.148266480024644	0.0015068136354538107	Down
PCSK1	-3.2963231451571695	0.0015068136354538107	Down
CHD1L	4.089123614683384	0.0015068136354538107	Up
GNL3	1.5595309935520436	0.001520719011546522	Up
GBA3	4.193406993382994	0.0015223855183410919	Up
CTSL	-1.5010106055816028	0.0015223855183410919	Down
FAM129B	-1.8255941709080805	0.0015223855183410919	Down
MEX3A	1.1599707105533512	0.0015223855183410919	Up
BMS1	1.5639426724788001	0.0015278829654258985	Up
HEXB	-1.7567194493412295	0.0015278829654258985	Down
ASH2L	1.1975700467186006	0.0015498186293545885	Up
AKR1B10	-3.842382391808381	0.0015498186293545885	Down
MCM6	2.4247624535644547	0.0015498186293545885	Up
NCAPD2	3.0122546689078122	0.0015498186293545885	Up
ITGB3	-4.869522587435492	0.0015498186293545885	Down
POGZ	1.2577722629549855	0.0015498186293545885	Up
TMEM2	3.005029236402345	0.0015498186293545885	Up
SPTBN1	-1.4644138172165944	0.0015814868407581836	Down
NUDCD1	1.2863526881595653	0.0015814868407581836	Up
BAG3	-1.877159754441068	0.001586238733121979	Down
FUCA1	-4.135817005935934	0.001586238733121979	Down
SORBS1	-1.3963110310241997	0.001586238733121979	Down
SERPINB6	-3.1670125219553293	0.001586238733121979	Down
COX6C	-2.1058826691628596	0.0015936006410509635	Down
LIPA	4.1436290112336325	0.0015959484683916352	Up
KTN1	-1.4330526178200955	0.0015984291847175656	Down
UTP14A	1.635305447597183	0.001613259450938599	Up
TUBA1C	3.635284742018561	0.001655888040395214	Up
HEATR1	1.4583898974138034	0.001673014595279087	Up
MYBBP1A	1.2351305120580374	0.001673014595279087	Up
KDM5B	1.6585739036337228	0.001673014595279087	Up
