"Gene","Degree","Betweenness","Closeness","logFC","adj.P.Val","Regulation"
"RCC2",10,0,0.00185873605947955,1.70358137228985,0.00078490836024926,"Up"
"SYNPO",10,44.5935520369593,0.00203665987780041,-5.65789837446593,0.00059388626304023,"Down"
"MAN2B1",10,41.3821581912588,0.00182481751824818,-2.49795265425696,0.00072238331459379,"Down"
"DCX",10,130.72351951976,0.0022075055187638,1.74241997455153,0.00136475508695448,"Up"
"CTSH",8,19.0404678081918,0.00206185567010309,-4.80921130535773,0.00106611473859988,"Down"
"VRK1",8,3.61076789419979,0.0021551724137931,3.1149538463983,0.00129866485181855,"Up"
"PLIN2",8,41.342503958105,0.00191570881226054,3.46324897025231,0.00078490836024926,"Up"
"GPD1",8,219.037548644166,0.00193050193050193,-6.06402033705579,0.0007709565404669,"Down"
"TMOD1",8,41.5583105634189,0.00198807157057654,-4.62482677128474,0.00089479226001609,"Down"
"CRABP1",8,222.014397202283,0.00191938579654511,4.26746355065436,0.00053413693602851,"Up"
"AKR1B10",8,77.5037903207375,0.00193798449612403,-3.84238239180838,0.00154981862935458,"Down"
"FUCA1",8,34.043632244948,0.00175438596491228,-4.13581700593593,0.00158623873312197,"Down"
"REEP5",8,220.401532327146,0.00191570881226054,-1.3148572763917,0.0013440101926384,"Down"
"PGM2",8,84.8330325505249,0.00202020202020202,-1.16106127486583,0.00137558007501837,"Down"
"NOL7",8,0,0.0015015015015015,3.1247298792964,0.00078490836024926,"Up"
"L1TD1",8,11.8939393939394,0.00194931773879142,4.91335561860655,0.00055972702229775,"Up"
"ANP32E",8,2.51869119877323,0.00217391304347826,1.42058297419534,0.00106611473859988,"Up"
"NID2",6,148,0.00215982721382289,7.0753153279589,0.00059388626304023,"Up"
"HEXB",6,0,0.00165562913907285,-1.75671944934123,0.00152788296542589,"Down"
"PDLIM3",6,148,0.00181818181818182,-3.69473370572985,0.00078490836024926,"Down"
"ADD3",6,43.7873931623932,0.00194552529182879,-1.65606832849955,0.00120156603132676,"Down"
"MAP1A",6,34.4849061659041,0.00235849056603774,-1.59121403648739,0.00072238331459379,"Down"
"ASH2L",6,46.3711455211455,0.00177935943060498,1.1975700467186,0.00154981862935458,"Up"
"KDM5B",6,110.034109676873,0.00194174757281553,1.65857390363372,0.00167301459527908,"Up"
"ALDH4A1",6,1.48376623376623,0.00165837479270315,-3.05842588568318,0.00059388626304023,"Down"
"AOX1",6,3.66666666666667,0.0017825311942959,3.24420266543563,0.0007457564562956,"Up"
"LGALS3BP",6,3.90098322729902,0.00211416490486258,-2.47926307988359,0.00069482474326298,"Down"
"SPOCK1",6,18.5482156732157,0.0021505376344086,2.32155090301087,0.00106371170189077,"Up"
"DLK1",6,295,0.00173611111111111,-3.46419773722523,0.00069482474326298,"Down"
"MX1",6,23.8733988233988,0.00206185567010309,5.26816697981489,0.0007457564562956,"Up"
"TRIM71",6,8.5036539762433,0.00191570881226054,5.20841125290168,0.00059388626304023,"Up"
"CHD7",6,77.0479756354757,0.0021505376344086,2.77003420887434,0.00069482474326298,"Up"
"RPS6KA1",6,9.15530113161691,0.00234741784037559,4.6345669070893,0.00059388626304023,"Up"
"BAZ2A",6,4.95,0.00215982721382289,2.97449440624965,0.00078490836024926,"Up"
"SQRDL",6,40.9780117070752,0.00184842883548983,-5.08898589052486,0.00105414672884895,"Down"
"SFRP1",4,7.895670995671,0.00186915887850467,3.58044735760624,0.00092302595615506,"Up"
"GPC2",4,148,0.00137362637362637,1.97951922549351,0.00129866485181855,"Up"
"EPHA3",4,294,0.00171821305841924,1.31524283207129,0.00148180092395823,"Up"
"CA2",4,92.4979832311453,0.00191570881226054,-1.92652397456665,0.0012345366267154,"Down"
"SYNM",4,0,0.00180505415162455,-4.89865903597991,0.00034697602930777,"Down"
"NTN1",4,9.74166666666667,0.00170940170940171,-4.92827243900674,0.00071579288979087,"Down"
"PARP4",4,0,0.00210970464135021,-3.03795486482129,0.00062655494495664,"Down"
"CD99",4,0,0.0020746887966805,-1.69189599805002,0.00120156603132676,"Down"
"GAB1",4,148,0.00165562913907285,-3.3682337980938,0.0007457564562956,"Down"
"TUBB4A",4,45.6676105224699,0.00187617260787992,2.38897984885412,0.00069482474326298,"Up"
"LIPA",4,8.84854497354497,0.00175438596491228,4.14362901123363,0.00159594846839163,"Up"
"MYO1B",4,0,0.00179533213644524,2.3411394505591,0.00053413693602851,"Up"
"MVP",4,0,0.00210970464135021,-2.35776130988896,0.00059088489036175,"Down"
"PTK7",4,56.1763814616756,0.00209643605870021,-1.19721890368638,0.00120915058657657,"Down"
"TUBA1C",4,10.35,0.00174216027874564,3.63528474201856,0.00165588804039521,"Up"
"EPHX1",4,0,0.00174825174825175,-2.24371737579944,0.00136475508695448,"Down"
"HBB",4,2.20396825396825,0.0017921146953405,1.8429801380645,0.00080544569852594,"Up"
"PAG1",2,0,0.00132978723404255,-3.12333261310037,0.00105414672884895,"Down"
"SFRP2",2,0,0.00149476831091181,8.50242908328823,0.00059388626304023,"Up"
"EPB41L3",2,0,0.00146842878120411,-2.23767859758414,0.00058086694163532,"Down"
"NAMPT",2,0,0.00210526315789474,-1.75045049217845,0.00143995162076452,"Down"
"PCSK1",2,0,0.00210526315789474,-3.29632314515717,0.00150681363545381,"Down"
"TAF9B",2,0,0.00149476831091181,1.84131913330834,0.00106371170189077,"Up"
"PLXNA4",2,0,0.00144927536231884,-4.35781781895357,0.00050089363610913,"Down"
"P2RX3",2,0,0.00165016501650165,3.98104918788085,0.000516388023561,"Up"
"MBNL1",2,0,1,-3.07183178796938,0.00094551902312653,"Down"
"COX6C",2,0,1,-2.10588266916286,0.00159360064105096,"Down"
"PPP2R1B",2,0,0.00181159420289855,2.84091673228343,0.00069482474326298,"Up"
"GNG11",2,0,0.0016366612111293,-6.02181406288813,0.00078490836024926,"Down"
"TRIM24",2,0,0.00158227848101266,1.3953292178487,0.00137558007501837,"Up"
"HS3ST3B1",2,0,0.00114155251141553,4.2318207138589,0.00050089363610913,"Up"
"SORBS1",2,0,0.00143266475644699,-1.3963110310242,0.00158623873312197,"Down"
"KTN1",2,0,0.00149253731343284,-1.4330526178201,0.00159842918471756,"Down"
"RPRD1A",2,0,0.00189035916824197,1.52363389806446,0.0009323053989401,"Up"
"GDPD2",2,0,0.0015015015015015,-4.64799428464958,0.00053413693602851,"Down"
"PEG10",2,0,0.00138121546961326,-2.46898025244806,0.00078490836024926,"Down"
"MEX3A",2,0,0.00163934426229508,1.15997071055335,0.00152238551834109,"Up"
"NOVA1",2,0,1,-1.41299223569018,0.00141147084611999,"Down"
"SPON1",2,0,0.00200803212851406,-6.38629173463945,0.00080544569852594,"Down"
"COX6B1",2,0,1,-2.19949477397995,0.00078490836024926,"Down"
"NLRP7",2,0,0.00171821305841924,4.16918270352628,0.00078490836024926,"Up"
"SPATS2L",2,0,0.00171821305841924,-2.49365567336802,0.00069482474326298,"Down"
"CRABP2",2,0,0.00174520069808028,5.80543748878216,0.00019296051308459,"Up"
"CRYBB1",2,0,0.00170648464163823,4.68670845726762,0.00129866485181855,"Up"
"RTL1",2,0,0.00138121546961326,-3.2820064994607,0.00069482474326298,"Down"
