"Gene_names","logFC","adj.P.Val","Regulation","STRING_id"
"MSH2",1.61384053105952,0.00118384621232131,"Up","9606.ENSP00000233146"
"SUGCT",2.24845008164043,0.00120156603132676,"Up","9606.ENSP00000486291"
"ADD3",-1.65606832849955,0.00120156603132676,"Down","9606.ENSP00000348381"
"CD99",-1.69189599805002,0.00120156603132676,"Down","9606.ENSP00000370588"
"IFI16",1.6062926149136,0.00120915058657657,"Up","9606.ENSP00000357113"
"PTK7",-1.19721890368638,0.00120915058657657,"Down","9606.ENSP00000418754"
"SLC2A1",6.12151942413335,0.00122614282280311,"Up","9606.ENSP00000416293"
"CA2",-1.92652397456665,0.0012345366267154,"Down","9606.ENSP00000285379"
"VRK1",3.1149538463983,0.00129866485181855,"Up","9606.ENSP00000216639"
"PDCD11",1.59807949628481,0.00129866485181855,"Up","9606.ENSP00000358812"
"ARMC6",1.56620049412496,0.00129866485181855,"Up","9606.ENSP00000444156"
"CRYBB1",4.68670845726762,0.00129866485181855,"Up","9606.ENSP00000497249"
"MAK16",1.24403268508266,0.00129866485181855,"Up","9606.ENSP00000353246"
"GPC2",1.97951922549351,0.00129866485181855,"Up","9606.ENSP00000292377"
"ALCAM",-6.18601051823209,0.00129866485181855,"Down","9606.ENSP00000305988"
"GTPBP4",1.32515076011,0.00130793298548059,"Up","9606.ENSP00000354040"
"CEBPZ",2.04018894317091,0.00132066086370101,"Up","9606.ENSP00000234170"
"REEP5",-1.3148572763917,0.0013440101926384,"Down","9606.ENSP00000368959"
"ZNF185",-1.56761023701375,0.0013440101926384,"Down","9606.ENSP00000440847"
"PIPOX",-3.2227707035372,0.0013440101926384,"Down","9606.ENSP00000317721"
"EPHX1",-2.24371737579944,0.00136475508695448,"Down","9606.ENSP00000480004"
"DCX",1.74241997455153,0.00136475508695448,"Up","9606.ENSP00000490614"
"PGM2",-1.16106127486583,0.00137558007501837,"Down","9606.ENSP00000371393"
"PBK",3.52763588774929,0.00137558007501837,"Up","9606.ENSP00000428489"
"PRSS56",-4.76245314479839,0.00137558007501837,"Down","9606.ENSP00000479745"
"FEN1",1.36422022559405,0.00137558007501837,"Up","9606.ENSP00000305480"
"TRIM24",1.3953292178487,0.00137558007501837,"Up","9606.ENSP00000340507"
"PXDN",2.04096122117763,0.00138690355393644,"Up","9606.ENSP00000252804"
"LRRC4B",-1.87293662613298,0.00138690355393644,"Down","9606.ENSP00000498662"
"NUF2",2.86000226206062,0.00139398664482894,"Up","9606.ENSP00000271452"
"IMPACT",6.30712601068231,0.00139398664482894,"Up","9606.ENSP00000284202"
"TMEM263",-1.54411786006055,0.00140613215962175,"Down","9606.ENSP00000449785"
"NOVA1",-1.41299223569018,0.00141147084611999,"Down","9606.ENSP00000438875"
"ALDH1B1",1.51453677608274,0.00143228777778032,"Up","9606.ENSP00000366927"
"PIR",-1.54062695824665,0.00143228777778032,"Down","9606.ENSP00000369786"
"NAMPT",-1.75045049217845,0.00143995162076452,"Down","9606.ENSP00000222553"
"EPHA3",1.31524283207129,0.00148180092395823,"Up","9606.ENSP00000337451"
"EPHA2",2.02757629173175,0.00148180092395823,"Up","9606.ENSP00000351209"
"NDRG2",-3.19476054264355,0.00148180092395823,"Down","9606.ENSP00000451712"
"PBXIP1",-3.14826648002464,0.00150681363545381,"Down","9606.ENSP00000357448"
"PCSK1",-3.29632314515717,0.00150681363545381,"Down","9606.ENSP00000308024"
"CHD1L",4.08912361468338,0.00150681363545381,"Up","9606.ENSP00000358262"
"GNL3",1.55953099355204,0.00152071901154652,"Up","9606.ENSP00000395772"
"CTSL",-1.5010106055816,0.00152238551834109,"Down","9606.ENSP00000345344"
"FAM129B",-1.82559417090808,0.00152238551834109,"Down","9606.ENSP00000362409"
"MEX3A",1.15997071055335,0.00152238551834109,"Up","9606.ENSP00000432845"
"BMS1",1.5639426724788,0.00152788296542589,"Up","9606.ENSP00000363642"
"HEXB",-1.75671944934123,0.00152788296542589,"Down","9606.ENSP00000261416"
"ASH2L",1.1975700467186,0.00154981862935458,"Up","9606.ENSP00000340896"
"AKR1B10",-3.84238239180838,0.00154981862935458,"Down","9606.ENSP00000352584"
"MCM6",2.42476245356445,0.00154981862935458,"Up","9606.ENSP00000264156"
"NCAPD2",3.01225466890781,0.00154981862935458,"Up","9606.ENSP00000325017"
"ITGB3",-4.86952258743549,0.00154981862935458,"Down","9606.ENSP00000452786"
"POGZ",1.25777226295499,0.00154981862935458,"Up","9606.ENSP00000271715"
"TMEM2",3.00502923640235,0.00154981862935458,"Up","9606.ENSP00000366243"
"SPTBN1",-1.46441381721659,0.00158148684075818,"Down","9606.ENSP00000349259"
"NUDCD1",1.28635268815957,0.00158148684075818,"Up","9606.ENSP00000239690"
"BAG3",-1.87715975444107,0.00158623873312197,"Down","9606.ENSP00000358081"
"FUCA1",-4.13581700593593,0.00158623873312197,"Down","9606.ENSP00000363603"
"SORBS1",-1.3963110310242,0.00158623873312197,"Down","9606.ENSP00000360293"
"SERPINB6",-3.16701252195533,0.00158623873312197,"Down","9606.ENSP00000484343"
"COX6C",-2.10588266916286,0.00159360064105096,"Down","9606.ENSP00000429707"
"LIPA",4.14362901123363,0.00159594846839163,"Up","9606.ENSP00000337354"
"KTN1",-1.4330526178201,0.00159842918471756,"Down","9606.ENSP00000378725"
"UTP14A",1.63530544759718,0.00161325945093859,"Up","9606.ENSP00000377944"
"TUBA1C",3.63528474201856,0.00165588804039521,"Up","9606.ENSP00000443475"
"HEATR1",1.4583898974138,0.00167301459527908,"Up","9606.ENSP00000355541"
"MYBBP1A",1.23513051205804,0.00167301459527908,"Up","9606.ENSP00000370968"
"KDM5B",1.65857390363372,0.00167301459527908,"Up","9606.ENSP00000356233"
